,taz_id,yesh_id,stat11_id,prc,yesh_stat11_id,cahana_id
2956,511,8300,625,0.00021686196622013368,83000625,8300625
2958,511,8300,614,6.382956061959745e-07,83000614,8300614
3156,548,8300,611,0.00010263969925306583,83000611,8300611
3157,548,8300,424,0.9867602246594618,83000424,8300424
3218,555,8300,214,0.9073882688991748,83000214,8300214
3213,554,8300,124,0.09714955408899983,83000124,8300124
3002,520,8300,614,0.9921678247850371,83000614,8300614
3004,520,8300,622,0.003987023019485821,83000622,8300622
3121,543,8300,315,0.2691822705887174,83000315,8300315
3155,547,8300,421,0.00020193019881185935,83000421,8300421
3153,547,8300,531,0.0033271918835329345,83000531,8300531
3154,547,8300,412,0.0019074538258146876,83000412,8300412
3149,547,8300,424,0.0001752255818144137,83000424,8300424
1748,298,8300,624,0.002390932645664695,83000624,8300624
3145,546,8300,424,8.52085546008292e-07,83000424,8300424
1745,298,8300,623,0.00018287319081739144,83000623,8300623
3210,554,8300,115,0.00048652824904268883,83000115,8300115
3001,520,8300,613,0.003799611250477742,83000613,8300613
3152,547,8300,611,0.014664299800954463,83000611,8300611
2997,519,8300,427,0.0026117035208494638,83000427,8300427
3204,554,8300,116,0.00018574579517503993,83000116,8300116
3151,547,8300,521,2.926140678832569e-05,83000521,8300521
3215,554,8300,123,0.11042700806191769,83000123,8300123
3150,547,8300,423,0.9796946373023577,83000423,8300423
1751,299,8300,625,0.0036691162569178234,83000625,8300625
2957,511,8300,624,0.0002403067874131191,83000624,8300624
3124,543,8300,225,8.811689730385904e-05,83000225,8300225
3125,543,8300,425,7.984204127974216e-05,83000425,8300425
3053,530,8300,511,0.9127868180787412,83000511,8300511
3058,531,8300,511,0.0002474683697156326,83000511,8300511
3024,524,8300,523,0.4735615460724324,83000523,8300523
3056,531,8300,516,0.0017434899692928825,83000516,8300516
3054,531,8300,521,0.0019360012317254842,83000521,8300521
3057,531,8300,512,0.9944287992548411,83000512,8300512
3055,531,8300,513,0.001644241174367772,83000513,8300513
3061,532,8300,516,0.0013080292610206474,83000516,8300516
3062,532,8300,515,0.004639425543033305,83000515,8300515
3064,532,8300,513,0.9592176180408372,83000513,8300513
3063,532,8300,514,0.001583905857522438,83000514,8300514
3052,530,8300,521,0.00028838652672526764,83000521,8300521
3059,532,8300,511,0.0006429672966527633,83000511,8300511
3068,533,8300,513,0.014969265993194474,83000513,8300513
3065,533,8300,515,0.34327077461180416,83000515,8300515
3067,533,8300,514,0.5645348524486397,83000514,8300514
3070,533,8300,621,0.019544542016588607,83000621,8300621
